// Command: 100 zones - sudo ./db_bench --db=/mnt/f2fs/db0 --wal_dir=/mnt/f2fs/wal0 --num=30000000 --compression_type=none --value_size=1000 --key_size=16 --use_direct_io_for_flush_and_compaction --num_levels=5 --max_bytes_for_level_multiplier=2 --max_background_jobs=8 --target_file_size_base=282329088 --write_buffer_size=564658176 --histogram --benchmarks=overwrite,overwrite,levelstats --seed=42 --use_existing_db
Attaching 4 probes...





@z_data_map[0, 2]: 1624
@z_data_map[8388608, 2]: 333216
@z_data_map[0, 1]: 453856
@z_data_map[8388608, 1]: 484960
@z_data_map[339738624, 2]: 2400240
@z_data_map[4194304, 1]: 3068888
@z_data_map[339738624, 1]: 3778808
@z_data_map[289406976, 2]: 4563624
@z_data_map[130023424, 2]: 4712376
@z_data_map[285212672, 2]: 4745432
@z_data_map[130023424, 1]: 5005304
@z_data_map[33554432, 1]: 5382120
@z_data_map[289406976, 1]: 5445376
@z_data_map[41943040, 1]: 5746832
@z_data_map[406847488, 2]: 5828384
@z_data_map[167772160, 1]: 6220936
@z_data_map[260046848, 2]: 6329144
@z_data_map[406847488, 1]: 6408600
@z_data_map[318767104, 1]: 6623864
@z_data_map[167772160, 2]: 6976880
@z_data_map[54525952, 1]: 7309488
@z_data_map[33554432, 2]: 7325952
@z_data_map[260046848, 1]: 7330480
@z_data_map[58720256, 1]: 7484256
@z_data_map[411041792, 2]: 7532528
@z_data_map[411041792, 1]: 7583152
@z_data_map[180355072, 1]: 7600960
@z_data_map[335544320, 1]: 7715608
@z_data_map[285212672, 1]: 7817616
@z_data_map[385875968, 1]: 8011152
@z_data_map[373293056, 1]: 8056296
@z_data_map[385875968, 2]: 8102008
@z_data_map[318767104, 2]: 8153224
@z_data_map[356515840, 2]: 8695744
@z_data_map[213909504, 2]: 8810656
@z_data_map[281018368, 2]: 8905488
@z_data_map[142606336, 2]: 8980616
@z_data_map[251658240, 2]: 9004080
@z_data_map[41943040, 2]: 9027032
@z_data_map[180355072, 2]: 9046736
@z_data_map[301989888, 2]: 9377784
@z_data_map[373293056, 2]: 9443752
@z_data_map[188743680, 2]: 9563304
@z_data_map[301989888, 1]: 9609216
@z_data_map[364904448, 1]: 9616112
@z_data_map[264241152, 1]: 9627376
@z_data_map[335544320, 2]: 9640464
@z_data_map[54525952, 2]: 9647840
@z_data_map[251658240, 1]: 9656176
@z_data_map[16777216, 1]: 9747416
@z_data_map[264241152, 2]: 9857648
@z_data_map[226492416, 1]: 9888416
@z_data_map[356515840, 1]: 9911752
@z_data_map[226492416, 2]: 10023840
@z_data_map[58720256, 2]: 10186352
@z_data_map[12582912, 1]: 10272800
@z_data_map[213909504, 1]: 10274280
@z_data_map[327155712, 2]: 10496048
@z_data_map[255852544, 1]: 10713592
@z_data_map[364904448, 2]: 10927368
@z_data_map[62914560, 2]: 11010064
@z_data_map[46137344, 1]: 11102984
@z_data_map[276824064, 1]: 11156792
@z_data_map[25165824, 1]: 11180344
@z_data_map[239075328, 1]: 11246920
@z_data_map[331350016, 1]: 11277840
@z_data_map[398458880, 1]: 11294952
@z_data_map[281018368, 1]: 11298136
@z_data_map[297795584, 1]: 11375232
@z_data_map[247463936, 1]: 11383848
@z_data_map[96468992, 1]: 11499496
@z_data_map[37748736, 1]: 11503944
@z_data_map[255852544, 2]: 11506744
@z_data_map[16777216, 2]: 11507656
@z_data_map[293601280, 1]: 11558720
@z_data_map[159383552, 1]: 11593792
@z_data_map[327155712, 1]: 11593904
@z_data_map[331350016, 2]: 11610808
@z_data_map[343932928, 2]: 11691520
@z_data_map[75497472, 2]: 11812624
@z_data_map[348127232, 1]: 11843992
@z_data_map[83886080, 1]: 11889464
@z_data_map[67108864, 1]: 11960064
@z_data_map[138412032, 2]: 11983472
@z_data_map[343932928, 1]: 11989064
@z_data_map[67108864, 2]: 11990568
@z_data_map[20971520, 1]: 12049656
@z_data_map[188743680, 1]: 12107560
@z_data_map[71303168, 2]: 12129744
@z_data_map[352321536, 1]: 12197880
@z_data_map[272629760, 2]: 12200384
@z_data_map[239075328, 2]: 12250152
@z_data_map[381681664, 2]: 12257600
@z_data_map[381681664, 1]: 12282464
@z_data_map[209715200, 2]: 12473296
@z_data_map[75497472, 1]: 12504816
@z_data_map[138412032, 1]: 12797160
@z_data_map[314572800, 1]: 12820424
@z_data_map[293601280, 2]: 12883440
@z_data_map[25165824, 2]: 12965208
@z_data_map[197132288, 2]: 13002672
@z_data_map[415236096, 1]: 13016832
@z_data_map[171966464, 1]: 13022232
@z_data_map[163577856, 1]: 13035368
@z_data_map[234881024, 1]: 13035544
@z_data_map[402653184, 1]: 13078504
@z_data_map[117440512, 1]: 13089448
@z_data_map[125829120, 2]: 13114216
@z_data_map[352321536, 2]: 13141720
@z_data_map[62914560, 1]: 13223464
@z_data_map[297795584, 2]: 13230320
@z_data_map[96468992, 2]: 13277304
@z_data_map[37748736, 2]: 13399192
@z_data_map[71303168, 1]: 13402128
@z_data_map[92274688, 1]: 13478184
@z_data_map[394264576, 1]: 13514856
@z_data_map[100663296, 1]: 13518600
@z_data_map[201326592, 1]: 13576952
@z_data_map[377487360, 1]: 13601088
@z_data_map[243269632, 1]: 13604744
@z_data_map[104857600, 1]: 13612520
@z_data_map[222298112, 1]: 13616336
@z_data_map[50331648, 2]: 13634488
@z_data_map[163577856, 2]: 13676512
@z_data_map[50331648, 1]: 13683088
@z_data_map[369098752, 1]: 13686608
@z_data_map[402653184, 2]: 13687928
@z_data_map[348127232, 2]: 13707960
