finalfinal
Attaching 4 probes...
@z_reset_lat_map[2359296, 3]: 59576687
@z_reset_lat_map[2490368, 14]: 59663957
@z_reset_lat_map[2490368, 9]: 59741606
@z_reset_lat_map[2490368, 8]: 59864202
@z_reset_lat_map[2883584, 18]: 59876461
@z_reset_lat_map[1572864, 4]: 59878311
@z_reset_lat_map[3276800, 1]: 59916798
@z_reset_lat_map[3276800, 7]: 61587494
@z_reset_lat_map[2752512, 2]: 62882714
@z_reset_lat_map[2883584, 15]: 64847232
@z_rw_ctr_map[8257536, 1]: 1
@z_rw_ctr_map[393216, 2]: 2
@z_rw_ctr_map[524288, 1]: 3
@z_rw_ctr_map[131072, 2]: 4
@z_rw_ctr_map[524288, 2]: 4
@z_rw_ctr_map[393216, 1]: 5
@z_rw_ctr_map[3145728, 2]: 9
@z_rw_ctr_map[0, 2]: 43
@z_rw_ctr_map[131072, 1]: 54
@z_rw_ctr_map[8257536, 2]: 56
@z_rw_ctr_map[1048576, 1]: 122
@z_rw_ctr_map[3145728, 1]: 165
@z_rw_ctr_map[786432, 1]: 193
@z_rw_ctr_map[2621440, 1]: 224
@z_rw_ctr_map[3276800, 1]: 227
@z_rw_ctr_map[2490368, 1]: 230
@z_rw_ctr_map[3014656, 1]: 256
@z_rw_ctr_map[2752512, 1]: 279
@z_rw_ctr_map[1048576, 2]: 282
@z_rw_ctr_map[2883584, 1]: 308
@z_rw_ctr_map[2359296, 1]: 321
@z_rw_ctr_map[1966080, 1]: 322
@z_rw_ctr_map[1835008, 1]: 361
@z_rw_ctr_map[2228224, 1]: 386
@z_rw_ctr_map[0, 1]: 424
@z_rw_ctr_map[1572864, 1]: 464
@z_rw_ctr_map[1310720, 1]: 466
@z_rw_ctr_map[655360, 1]: 489
@z_rw_ctr_map[786432, 2]: 511
@z_rw_ctr_map[2097152, 1]: 515
@z_rw_ctr_map[1179648, 1]: 577
@z_rw_ctr_map[1703936, 1]: 577
@z_rw_ctr_map[917504, 1]: 589
@z_rw_ctr_map[1441792, 1]: 772
@z_rw_ctr_map[1441792, 2]: 2628
@z_rw_ctr_map[2097152, 2]: 3746
@z_rw_ctr_map[1966080, 2]: 6436
@z_rw_ctr_map[2752512, 2]: 7763
@z_rw_ctr_map[2883584, 2]: 7781
@z_rw_ctr_map[3276800, 2]: 9488
@z_rw_ctr_map[2359296, 2]: 9521
@z_rw_ctr_map[2621440, 2]: 9524
@z_rw_ctr_map[1310720, 2]: 9613
@z_rw_ctr_map[2228224, 2]: 12678
@z_rw_ctr_map[1835008, 2]: 13084
@z_rw_ctr_map[2490368, 2]: 15726
@z_rw_ctr_map[3014656, 2]: 19604
@z_rw_ctr_map[655360, 2]: 19913
@z_rw_ctr_map[917504, 2]: 19913
@z_rw_ctr_map[1703936, 2]: 24077
@z_rw_ctr_map[1572864, 2]: 28472
@z_rw_ctr_map[1179648, 2]: 32162
