
Attaching 4 probes...
@z_reset_ctr_map[2228224]: 1
@z_reset_ctr_map[5636096]: 1
@z_reset_ctr_map[6291456]: 1
@z_reset_ctr_map[2883584]: 1
@z_reset_ctr_map[2490368]: 1
@z_reset_ctr_map[4194304]: 1
@z_reset_ctr_map[4849664]: 1
@z_reset_ctr_map[6029312]: 1
@z_reset_ctr_map[1441792]: 1
@z_reset_ctr_map[5111808]: 1
@z_reset_ctr_map[1703936]: 1
@z_reset_ctr_map[131072]: 16

@z_rw_ctr_map[262144, 1]: 9
@z_rw_ctr_map[0, 1]: 29
@z_rw_ctr_map[1310720, 1]: 64
@z_rw_ctr_map[1441792, 1]: 64
@z_rw_ctr_map[2097152, 1]: 64
@z_rw_ctr_map[3670016, 1]: 64
@z_rw_ctr_map[3145728, 1]: 64
@z_rw_ctr_map[2621440, 1]: 64
@z_rw_ctr_map[4718592, 1]: 64
@z_rw_ctr_map[2359296, 1]: 64
@z_rw_ctr_map[7995392, 1]: 64
@z_rw_ctr_map[3538944, 1]: 64
@z_rw_ctr_map[4980736, 1]: 64
@z_rw_ctr_map[6684672, 1]: 64
@z_rw_ctr_map[7077888, 1]: 64
@z_rw_ctr_map[4849664, 1]: 64
@z_rw_ctr_map[7340032, 1]: 64
@z_rw_ctr_map[6029312, 1]: 64
@z_rw_ctr_map[2490368, 1]: 64
@z_rw_ctr_map[3801088, 1]: 64
@z_rw_ctr_map[6160384, 1]: 64
@z_rw_ctr_map[1966080, 1]: 65
@z_rw_ctr_map[7208960, 1]: 65
@z_rw_ctr_map[5898240, 1]: 65
@z_rw_ctr_map[6553600, 1]: 65
@z_rw_ctr_map[4325376, 1]: 65
@z_rw_ctr_map[5505024, 1]: 65
@z_rw_ctr_map[4194304, 1]: 65
@z_rw_ctr_map[1179648, 1]: 65
@z_rw_ctr_map[7864320, 1]: 66
@z_rw_ctr_map[7733248, 1]: 66
@z_rw_ctr_map[5373952, 1]: 66
@z_rw_ctr_map[3014656, 1]: 66
@z_rw_ctr_map[1835008, 1]: 66
@z_rw_ctr_map[8257536, 1]: 75
@z_rw_ctr_map[3276800, 1]: 96
@z_rw_ctr_map[6815744, 1]: 97
@z_rw_ctr_map[5636096, 1]: 101
@z_rw_ctr_map[4456448, 1]: 102
@z_rw_ctr_map[524288, 1]: 160
@z_rw_ctr_map[917504, 1]: 168
@z_rw_ctr_map[786432, 1]: 171
@z_rw_ctr_map[393216, 1]: 175
@z_rw_ctr_map[1048576, 1]: 180
@z_rw_ctr_map[6422528, 1]: 272
@z_rw_ctr_map[5242880, 1]: 273
@z_rw_ctr_map[4063232, 1]: 280
@z_rw_ctr_map[2883584, 1]: 287
@z_rw_ctr_map[1572864, 1]: 313
@z_rw_ctr_map[7602176, 1]: 329
@z_rw_ctr_map[7471104, 1]: 341
@z_rw_ctr_map[1703936, 1]: 361
@z_rw_ctr_map[2752512, 1]: 378
@z_rw_ctr_map[3932160, 1]: 394
@z_rw_ctr_map[5111808, 1]: 398
@z_rw_ctr_map[6291456, 1]: 401
@z_rw_ctr_map[4587520, 1]: 566
@z_rw_ctr_map[5767168, 1]: 570
@z_rw_ctr_map[6946816, 1]: 576
@z_rw_ctr_map[3407872, 1]: 576
@z_rw_ctr_map[8126464, 1]: 594
@z_rw_ctr_map[2228224, 1]: 599
@z_rw_ctr_map[131072, 1]: 7772
